Date,Open ,High,Low,Close,Adj Close,Volume
"Jul 12, 2018",415.16,416.79,407.8,413.5,413.5,"12,743,300"
"Dec 14, 2021",598.71,602.29,588.13,597.99,597.99,"2,984,500"
"Nov 1, 2023",414.77,420.6,414.18,420.19,420.19,"4,806,100"
"Mar 8, 2024",608.27,616.09,600.84,604.82,604.82,"2,774,600"
"Jul 30, 2004",2.87,2.96,2.87,2.93,2.93,"5,053,300"
"Nov 7, 2012",10.92,11.32,10.92,11.1,11.1,"31,099,600"
"Oct 28, 2019",278.05,285.75,277.35,281.86,281.86,"6,248,400"
"Jan 7, 2004",4.31,4.47,4.25,4.45,4.45,"68,432,000"
"Jul 30, 2020",480.71,488.35,477.51,485.8,485.8,"6,608,600"
"Sep 4, 2019",291.25,292.38,286.51,291.52,291.52,"4,652,500"
"Dec 3, 2009",8.44,8.5,8.25,8.28,8.28,"8,534,400"
"May 19, 2009",5.59,5.76,5.55,5.66,5.66,"13,829,900"
"May 5, 2010",13.93,14.53,13.74,14.03,14.03,"14,749,700"
"Dec 1, 2008",3.17,3.26,3.11,3.15,3.15,"7,054,600"
"May 12, 2016",90.32,90.41,85.74,87.74,87.74,"20,408,100"
"Jun 1, 2021",504.01,505.41,497.74,499.08,499.08,"2,482,600"
"Oct 6, 2006",3.41,3.46,3.38,3.44,3.44,"4,361,700"
"Oct 31, 2019",291,291.45,284.78,287.41,287.41,"5,090,000"
"Jul 17, 2013",37.32,38.32,36.95,38.27,38.27,"19,510,400"
"Dec 2, 2004",1.59,1.63,1.59,1.62,1.62,"10,747,800"
"Oct 6, 2022",236.68,244.28,233.91,240.02,240.02,"9,188,900"
"Mar 29, 2006",4.02,4.2,3.99,4.17,4.17,"7,978,600"
"Jun 3, 2008",4.43,4.58,4.43,4.55,4.55,"9,543,800"
"Oct 4, 2022",244.84,245.8,233.25,240.74,240.74,"13,925,900"
"Oct 20, 2009",7.23,7.25,6.97,6.99,6.99,"7,756,000"
"Apr 15, 2016",110.64,111.85,109.78,111.51,111.51,"11,746,100"
"Dec 3, 2024",894.36,902.69,888.03,902.17,902.17,"2,401,600"
"Oct 19, 2012",9.6,9.64,9.18,9.28,9.28,"22,881,600"
"Apr 6, 2011",35.43,35.55,34.05,34.28,34.28,"40,247,200"
"Jul 22, 2024",639.5,656.29,632.6,647.5,647.5,"5,219,100"
"Feb 27, 2006",3.75,3.79,3.74,3.79,3.79,"5,584,600"
"Feb 16, 2005",1.6,1.61,1.55,1.56,1.56,"5,604,900"
"Dec 11, 2024",924.71,941.75,923.08,936.56,936.56,"3,501,700"
"Aug 11, 2008",4.41,4.63,4.39,4.6,4.6,"14,011,200"
"Jun 29, 2018",399.19,401.33,390.55,391.43,391.43,"9,252,500"
"Nov 10, 2008",3.17,3.24,3.03,3.08,3.08,"3,045,700"
"Dec 27, 2007",4,4.03,3.86,3.92,3.92,"11,615,800"
"Oct 4, 2006",3.28,3.34,3.26,3.31,3.31,"5,247,200"
"Jun 17, 2019",342.69,351.77,342.06,350.62,350.62,"5,358,200"
"Jun 6, 2011",39.05,39.67,37.23,37.51,37.51,"45,899,000"
"Apr 12, 2021",551.05,557.98,549.58,552.78,552.78,"2,944,100"
"Sep 30, 2008",4.57,4.64,4.25,4.41,4.41,"10,700,200"
"Dec 9, 2013",50.74,51.41,50.52,50.81,50.81,"11,718,700"
"Mar 3, 2008",4.54,4.57,4.38,4.42,4.42,"12,994,800"
"Oct 29, 2010",24.99,25.11,24.19,24.8,24.8,"41,610,800"
"Feb 18, 2020",379.3,389.54,379.19,387.78,387.78,"5,173,900"
"Apr 23, 2024",556.49,579.21,555.28,577.75,577.75,"4,975,500"
"Apr 1, 2021",529.93,540.5,527.03,539.42,539.42,"3,938,600"
"Jan 14, 2003",0.87,0.88,0.84,0.86,0.86,"2,549,400"
"Feb 1, 2017",141.2,142.41,139.3,140.78,140.78,"6,033,400"
"Jul 16, 2009",6.26,6.32,6.16,6.3,6.3,"8,621,900"
"Jul 8, 2022",186.02,189.91,182.75,186.98,186.98,"5,835,700"
"Jun 23, 2015",96.34,97.39,95.75,97.31,97.31,"15,626,100"
"Apr 7, 2005",1.58,1.62,1.56,1.61,1.61,"7,477,400"
"Aug 17, 2016",94.94,96.93,94.85,96.37,96.37,"8,315,600"
"Nov 18, 2009",8.69,8.81,8.61,8.73,8.73,"6,591,200"
"Dec 10, 2018",264.19,271.18,260.61,269.7,269.7,"9,605,600"
"Jul 27, 2020",484.51,496.92,482.31,495.65,495.65,"7,863,100"
"Jun 9, 2021",494.5,496.09,484.65,485.81,485.81,"3,055,000"
"Nov 3, 2010",24.66,24.86,24.15,24.49,24.49,"27,377,000"
"Jul 6, 2012",11.96,12.2,11.46,11.7,11.7,"85,261,400"
"Aug 15, 2017",171.53,171.88,168.25,168.5,168.5,"5,656,100"
